1.00000000000000e+000,-6.78881215653121e+001,1.78379717750128e+002
1.02329299228075e+000,-6.74881201753396e+001,1.78341965845566e+002
1.04712854805090e+000,-6.70881187232222e+001,1.78303333822427e+002
1.07151930523761e+000,-6.66881172063553e+001,1.78263801125523e+002
1.09647819614318e+000,-6.62881156220433e+001,1.78223346716977e+002
1.12201845430196e+000,-6.58881139674974e+001,1.78181949064693e+002
1.14815362149688e+000,-6.54881122398353e+001,1.78139586130555e+002
1.17489755493953e+000,-6.50881104360801e+001,1.78096235358314e+002
1.20226443461741e+000,-6.46881085531597e+001,1.78051873661180e+002
1.23026877081238e+000,-6.42881065879069e+001,1.78006477409095e+002
1.25892541179417e+000,-6.38881045370598e+001,1.77960022415689e+002
1.28824955169313e+000,-6.34881023972621e+001,1.77912483924899e+002
1.31825673855641e+000,-6.30881001650648e+001,1.77863836597245e+002
1.34896288259165e+000,-6.26880978369283e+001,1.77814054495764e+002
1.38038426460288e+000,-6.22880954092245e+001,1.77763111071570e+002
1.41253754462275e+000,-6.18880928782407e+001,1.77710979149048e+002
1.44543977074593e+000,-6.14880902401837e+001,1.77657630910663e+002
1.47910838816821e+000,-6.10880874911850e+001,1.77603037881370e+002
1.51356124843621e+000,-6.06880846273077e+001,1.77547170912616e+002
1.54881661891248e+000,-6.02880816445538e+001,1.77490000165927e+002
1.58489319246111e+000,-5.98880785388737e+001,1.77431495096051e+002
1.62181009735893e+000,-5.94880753061764e+001,1.77371624433660e+002
1.65958690743756e+000,-5.90880719423428e+001,1.77310356167587e+002
1.69824365246174e+000,-5.86880684432394e+001,1.77247657526586e+002
1.73780082874937e+000,-5.82880648047356e+001,1.77183494960598e+002
1.77827941003892e+000,-5.78880610227226e+001,1.77117834121510e+002
1.81970085860998e+000,-5.74880570931355e+001,1.77050639843384e+002
1.86208713666287e+000,-5.70880530119780e+001,1.76981876122143e+002
1.90546071796325e+000,-5.66880487753512e+001,1.76911506094698e+002
1.94984459975804e+000,-5.62880443794850e+001,1.76839492017487e+002
1.99526231496888e+000,-5.58880398207754e+001,1.76765795244414e+002
2.04173794466953e+000,-5.54880350958245e+001,1.76690376204165e+002
2.08929613085404e+000,-5.50880302014870e+001,1.76613194376877e+002
2.13796208950223e+000,-5.46880251349217e+001,1.76534208270138e+002
2.18776162394955e+000,-5.42880198936499e+001,1.76453375394290e+002
2.23872113856834e+000,-5.38880144756197e+001,1.76370652237018e+002
2.29086765276777e+000,-5.34880088792792e+001,1.76285994237188e+002
2.34422881531992e+000,-5.30880031036573e+001,1.76199355757916e+002
2.39883291901949e+000,-5.26879971484541e+001,1.76110690058822e+002
2.45470891568503e+000,-5.22879910141422e+001,1.76019949267462e+002
2.51188643150958e+000,-5.18879847020782e+001,1.75927084349880e+002
2.57039578276886e+000,-5.14879782146284e+001,1.75832045080270e+002
2.63026799189538e+000,-5.10879715553068e+001,1.75734780009688e+002
2.69153480392691e+000,-5.06879647289298e+001,1.75635236433792e+002
2.75422870333816e+000,-5.02879577417872e+001,1.75533360359569e+002
2.81838293126445e+000,-4.98879506018313e+001,1.75429096471002e+002
2.88403150312660e+000,-4.94879433188879e+001,1.75322388093629e+002
2.95120922666638e+000,-4.90879359048884e+001,1.75213177157957e+002
3.01995172040201e+000,-4.86879283741282e+001,1.75101404161683e+002
3.09029543251359e+000,-4.82879207435515e+001,1.74987008130653e+002
3.16227766016837e+000,-4.78879130330670e+001,1.74869926578529e+002
3.23593656929628e+000,-4.74879052658963e+001,1.74750095465079e+002
3.31131121482591e+000,-4.70878974689592e+001,1.74627449153061e+002
3.38844156139202e+000,-4.66878896732996e+001,1.74501920363608e+002
3.46736850452531e+000,-4.62878819145546e+001,1.74373440130062e+002
3.54813389233575e+000,-4.58878742334739e+001,1.74241937750182e+002
3.63078054770101e+000,-4.54878666764911e+001,1.74107340736656e+002
3.71535229097172e+000,-4.50878592963553e+001,1.73969574765825e+002
3.80189396320560e+000,-4.46878521528266e+001,1.73828563624549e+002
3.89045144994280e+000,-4.42878453134429e+001,1.73684229155119e+002
3.98107170553496e+000,-4.38878388543658e+001,1.73536491198126e+002
4.07380277804112e+000,-4.34878328613110e+001,1.73385267533181e+002
4.16869383470335e+000,-4.30878274305746e+001,1.73230473817393e+002
4.26579518801592e+000,-4.26878226701624e+001,1.73072023521486e+002
4.36515832240165e+000,-4.22878187010339e+001,1.72909827863447e+002
4.46683592150962e+000,-4.18878156584706e+001,1.72743795739576e+002
4.57088189614874e+000,-4.14878136935833e+001,1.72573833652811e+002
4.67735141287197e+000,-4.10878129749695e+001,1.72399845638197e+002
4.78630092322637e+000,-4.06878136905372e+001,1.72221733185352e+002
4.89778819368445e+000,-4.02878160495113e+001,1.72039395157779e+002
5.01187233627271e+000,-3.98878202846393e+001,1.71852727708862e+002
5.12861383991364e+000,-3.94878266546181e+001,1.71661624194387e+002
5.24807460249771e+000,-3.90878354467606e+001,1.71465975081407e+002
5.37031796370252e+000,-3.86878469799279e+001,1.71265667853257e+002
5.49540873857623e+000,-3.82878616077527e+001,1.71060586910547e+002
5.62341325190348e+000,-3.78878797221803e+001,1.70850613467899e+002
5.75439937337156e+000,-3.74879017573607e+001,1.70635625446240e+002
5.88843655355588e+000,-3.70879281939253e+001,1.70415497360403e+002
6.02559586074356e+000,-3.66879595636835e+001,1.70190100201816e+002
6.16595001861481e+000,-3.62879964547835e+001,1.69959301316029e+002
6.30957344480192e+000,-3.58880395173794e+001,1.69722964274809e+002
6.45654229034654e+000,-3.54880894698554e+001,1.69480948742549e+002
